symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,4,18.285714285714285,2,0,7.1713295,7.643324,22.670053863525382,2.0161371,1.0954376
False,128,4,18.285714285714285,2,0,8.037819,10.371541,28.70367736816403,2.0911808,1.2558799
True,128,4,18.285714285714285,2,1,7.097421,7.6784005,23.88851203918456,1.9999149,1.1169431
False,128,4,18.285714285714285,2,1,8.387074,11.953635,26.860766601562492,2.1369765,1.2812027
True,128,4,18.285714285714285,2,2,12.10394,15.44553,42.24113311767575,2.5803976,1.5864453
False,128,4,18.285714285714285,2,2,10.559705,24.843597,29.568032836914057,2.2931578,1.628371
True,128,4,18.285714285714285,2,3,6.6008415,8.454827,18.9544609069824,1.9213156,1.06177
False,128,4,18.285714285714285,2,3,7.06401,8.88907,22.255572509765617,1.9720807,1.1544623
True,128,4,18.285714285714285,2,4,9.839768,12.345098,31.03522796630857,2.3177981,1.3885024
False,128,4,18.285714285714285,2,4,9.047655,17.07861,25.415090942382804,2.1972928,1.4498389
True,128,4,18.285714285714285,2,5,7.731624,10.535524,26.570123291015587,2.0442998,1.2589208
False,128,4,18.285714285714285,2,5,10.365741,13.797733,33.8720779418945,2.392712,1.4600111
True,128,4,18.285714285714285,2,6,5.998758,6.5333014,16.813648605346664,1.8555964,0.96597797
False,128,4,18.285714285714285,2,6,9.425606,12.270531,28.00037612915039,2.3037493,1.3615505
True,128,4,18.285714285714285,2,7,7.493868,7.9177575,21.216712188720695,2.030324,1.0831784
False,128,4,18.285714285714285,2,7,9.0202265,13.018584,25.556148529052734,2.2176151,1.3777912
True,128,4,18.285714285714285,2,8,8.426575,11.039661,25.668317031860322,2.1478524,1.2630538
False,128,4,18.285714285714285,2,8,6.999856,8.66987,22.781919860839842,1.9816743,1.1767396
True,128,4,18.285714285714285,2,9,7.604447,8.286892,22.4540328979492,2.0857856,1.1433522
False,128,4,18.285714285714285,2,9,9.345991,14.713721,33.16711578369139,2.2093875,1.4535868
True,128,8,11.636363636363637,2,0,5.4120846,8.157555,16.68857727050779,1.717406,1.1300066
False,128,8,11.636363636363637,2,0,5.601043,6.285909,18.630561828613235,1.7997329,1.0275373
True,128,8,11.636363636363637,2,1,5.935771,9.112144,17.047081756591798,1.7909846,1.1889377
False,128,8,11.636363636363637,2,1,6.002189,7.878449,17.397741317749006,1.8343788,1.0838306
