symmetric,encoder_macs,decoder_macs,encoder_params,decoder_params,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,0,2.186373,15.153836,4.0385386228561355,0.8317868,0.9356515
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,0,2.594339,20.549929,4.636035871505735,0.87291485,1.0505648
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,1,3.3059046,32.294273,5.339933204650872,0.85331213,1.2878767
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,1,3.0467231,23.599072,5.310613059997557,0.91488636,1.1744255
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,2,2.7445316,18.435467,5.086022424697875,0.8658676,1.1328713
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,2,3.050999,29.568712,3.204852581024168,0.84218496,1.209688
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,3,3.109436,29.881771,4.240738844871512,0.84638065,1.2452999
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,3,2.81784,28.48478,2.924867796897886,0.7714844,1.2072345
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,4,2.4629302,21.188719,3.8514427661895643,0.7746332,1.0797393
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,4,2.6037097,19.696552,4.8419814586639385,0.87969995,1.049549
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,5,3.411549,32.1882,5.121637821197494,0.9456521,1.2631629
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,5,2.8511484,26.126614,4.915266990661619,0.8523101,1.182293
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,6,4.3093786,36.776337,7.826074266433714,1.1361561,1.3361729
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,6,2.5265923,21.223486,4.1366171836853,0.8349056,1.0451509
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,7,3.8459325,28.169508,8.70635061264037,1.0906107,1.2958989
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,7,2.627071,25.651478,3.2500745296478266,0.78492695,1.1096326
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,8,3.1069157,34.454136,3.6535757303237895,0.7845786,1.2704057
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,8,3.6954377,28.129028,6.418842840194697,1.0644821,1.2267994
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,9,3.076638,26.065695,4.495327043533325,0.86845183,1.2219846
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,9,2.587074,22.865309,3.827803540229796,0.81425077,1.1162571
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,0,2.3504696,20.767782,4.011927461624145,0.78744197,1.0151607
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,0,2.8364089,26.088625,4.064787101745604,0.8006986,1.1959261
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,1,3.1263845,31.848728,4.9235612392425505,0.798192,1.2768427
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,1,3.1211505,27.996216,4.699103975296016,0.8348291,1.2425493
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,2,2.3586235,22.403242,3.084082937240599,0.7379186,1.0664781
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,2,2.1379318,19.016167,2.9630013465881326,0.7218715,0.9796574
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,3,2.9184144,23.636211,5.099024915695191,0.9474252,1.1132187
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,3,3.2929914,31.357792,5.1026525497436515,0.88230354,1.233945
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,4,2.9606214,31.5349,3.665056037902829,0.7505564,1.2407992
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,4,3.720681,34.202034,5.352826213836666,0.94586104,1.3191667
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,5,1.5129478,9.337922,3.9276367425918512,0.7060969,0.7662454
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,5,1.6435037,9.314753,3.934557437896723,0.76285493,0.747471
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,6,1.9789139,17.883394,2.9008780002593975,0.7125837,0.96048224
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,6,2.729579,23.017908,5.335982894897461,0.85854477,1.1226575
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,7,2.697852,22.72508,4.670213747024529,0.82928354,1.1168197
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,7,2.089613,14.116239,3.8554898500442505,0.8560699,0.88263
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,8,2.8985913,29.112917,3.4601759672164905,0.8073234,1.2171952
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,8,3.903961,35.022343,5.476965999603268,0.95739305,1.383671
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,9,1.8410709,13.733425,3.497859764099118,0.7610627,0.88053006
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,9,1.5214511,10.605072,3.156657242774962,0.7174157,0.73739606
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,0,2.0029218,12.225773,3.9386661767959574,0.79172003,0.9006549
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,0,1.7338482,14.693628,2.5493911266326896,0.6892423,0.86190903
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,1,1.7533028,9.61724,3.423327755928037,0.81405056,0.76245725
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,1,2.8930552,22.795288,5.739733171462997,0.8928634,1.1206807
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,2,2.2716315,16.996738,4.430816030502316,0.8562857,0.9589097
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,2,3.2306213,32.917385,4.716490316390988,0.82705736,1.2849702
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,3,2.0041277,6.7819767,6.210537099838247,0.9281916,0.76985276
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,3,2.3643034,18.87688,3.74195017814636,0.8122104,1.0283608
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,4,1.7271724,7.096426,5.203020238876337,0.8370441,0.75450504
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,4,3.0085194,24.615713,4.3567143917083735,0.8832738,1.189659
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,5,2.2623324,11.090943,6.937358093261687,0.90421206,0.87360615
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,5,3.353916,33.997654,3.6543022871017454,0.8463456,1.3017278
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,6,2.1624956,8.859998,6.048864698410026,0.92643696,0.84989804
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,6,1.6986932,14.743041,2.6291901350021356,0.6649514,0.88624185
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,7,2.008744,11.321004,4.720379734039304,0.8464156,0.8573352
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,7,1.8544194,15.196914,3.1571604967117275,0.72530186,0.9071013
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,8,2.0045533,14.626077,4.1177381277084315,0.7967586,0.9051996
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,8,2.1165302,19.726088,3.1191316127777062,0.70549446,0.99805117
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,9,2.3106396,14.223052,5.221535778045642,0.9035459,0.9165268
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,9,2.8231375,24.88314,4.460024881362914,0.8241588,1.162064
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,0,1.7578771,9.57064,4.083817028999325,0.83545667,0.7665604
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,0,2.8463643,25.629217,4.42869610786438,0.8196646,1.171675
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,1,1.6768597,5.8247576,4.884594726562497,0.8562755,0.6519296
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,1,1.9730325,10.178019,4.496333885192867,0.82998234,0.8682736
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,2,1.7306798,6.375643,4.979071998596187,0.8575066,0.7204785
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,2,2.6774502,17.91604,6.010666084289548,0.9522667,1.0023605
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,3,2.4034297,6.1069074,8.221036577224725,1.062027,0.82078856
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,3,1.753841,11.506857,3.9118965387344264,0.7585007,0.7788693
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,4,1.8635577,3.778541,7.96166114807128,0.93747693,0.6941421
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,4,1.8078791,11.75204,4.505017280578607,0.7762199,0.8507732
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,5,1.6116022,2.5122204,5.875668811798089,0.8969592,0.60666573
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,5,1.7644737,9.861371,4.194084501266474,0.77068186,0.8242268
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,6,1.6067625,8.311199,3.6353309631347632,0.7779485,0.73584145
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,6,1.9579225,18.948223,2.7944361448287958,0.6970204,0.9367739
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,7,1.5782981,6.9842906,3.7932756423950194,0.81812894,0.67354476
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,7,1.7030728,11.305924,3.6884477376937808,0.75759757,0.8102261
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,8,2.1796975,4.8543053,8.660167884826649,1.005033,0.7689641
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,8,2.2829187,21.83368,3.2961776018142643,0.73896414,1.0503372
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,9,1.6020273,5.726204,4.922742891311641,0.84438485,0.66618997
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,9,2.0576675,11.65379,4.3073022842407225,0.87954813,0.8378181
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,0,2.5423203,8.152868,7.499148941040027,1.0567466,0.88315356
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,0,1.9341455,15.221071,3.8005527496337885,0.73356044,0.92019933
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,1,2.037482,4.1050406,7.119316911697384,0.976925,0.75484765
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,1,2.1402245,20.107899,3.0234300613403295,0.739241,1.0155903
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,2,2.2006419,8.03225,5.790148687362668,0.9842256,0.809984
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,2,1.2458038,4.12007,3.3455450296401934,0.7289189,0.5997788
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,3,3.1568172,8.989524,10.04682273864746,1.2191383,0.99263644
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,3,2.15615,14.248434,4.597418975830072,0.83127344,0.9175152
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,4,2.117194,3.6948352,8.034961366653425,1.0231696,0.73604643
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,4,2.1243863,12.649393,5.4364726543426505,0.87327355,0.8853432
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,5,1.6475508,5.5444355,4.37068929672241,0.855507,0.682958
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,5,1.9718783,13.756203,3.948689079284667,0.7831629,0.9055007
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,6,2.2897043,5.7080235,7.292264652252189,1.0597574,0.7858176
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,6,1.5871975,10.156876,3.6391163349151583,0.731436,0.77473843
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,7,3.824957,6.414642,12.369043350219709,1.4108342,0.94440305
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,7,1.629328,9.322829,4.062541818618766,0.7530903,0.7749299
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,8,4.27322,15.337464,13.756270503997795,1.3380274,1.152829
