symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,64,2,2.0,2,0,1.5399256,3.8349867,4.38941535949707,0.82282835,0.6720454
False,128,64,2,2.0,2,0,1.4644558,3.7608876,4.979518890380834,0.76364106,0.6553648
True,128,64,2,2.0,2,1,1.4740648,4.015174,4.276844692230221,0.7994986,0.64661765
False,128,64,2,2.0,2,1,1.3712771,3.4564013,4.236792755126947,0.8035396,0.61487496
True,128,64,2,2.0,2,2,1.4839417,3.605763,4.184439659118649,0.82366735,0.6157309
False,128,64,2,2.0,2,2,1.8599999,3.028305,5.771544742584225,0.9580635,0.6003639
True,128,64,2,2.0,2,3,2.3621774,3.8860576,6.88406715393066,1.0763285,0.68527764
False,128,64,2,2.0,2,3,2.4990442,8.219336,6.6079706192016525,0.98498833,0.9196269
True,128,64,2,2.0,2,4,1.741804,3.1992512,5.482657432556152,0.9187016,0.6504997
False,128,64,2,2.0,2,4,1.7437307,5.6917143,4.933316802978509,0.793732,0.7703382
True,128,64,2,2.0,2,5,1.3007896,3.4863825,3.4629734516143778,0.7679853,0.59467673
False,128,64,2,2.0,2,5,2.0670457,6.996339,5.541529273986802,0.8935928,0.8256864
True,128,64,2,2.0,2,6,1.430963,3.4512348,4.350991439819332,0.7948135,0.639554
False,128,64,2,2.0,2,6,2.3167734,4.5949526,7.848226356506335,1.0679572,0.7719833
True,128,64,2,2.0,2,7,1.1652746,2.7516532,3.1957329750061025,0.7461503,0.5295766
False,128,64,2,2.0,2,7,2.13578,5.7445045,6.5379150390625,0.9452824,0.8047778
True,128,64,2,2.0,2,8,1.5447569,3.7235522,4.733463478088377,0.8334933,0.646869
False,128,64,2,2.0,2,8,2.4851675,6.929107,6.725891876220689,1.0181372,0.86081725
True,128,64,2,2.0,2,9,1.1902375,2.6269426,3.3062624454498253,0.7449356,0.5601192
False,128,64,2,2.0,2,9,2.4362118,6.7219133,9.836334037780741,0.97050726,0.88586336
True,128,32,4,4.0,2,0,1.8294219,2.594681,6.009993934631347,0.9977124,0.6423517
False,128,32,4,4.0,2,0,2.7801692,4.742596,8.495716476440426,1.1973016,0.83509046
True,128,32,4,4.0,2,1,1.5520006,2.305979,5.564428901672352,0.9024346,0.57481825
False,128,32,4,4.0,2,1,1.8044555,3.5247247,6.495990180969235,0.9410613,0.66455406
True,128,32,4,4.0,2,2,3.3429658,4.2996817,9.944723701477042,1.3448466,0.8612224
False,128,32,4,4.0,2,2,1.7972039,3.9466908,4.704653930664062,0.92887676,0.69418776
True,128,32,4,4.0,2,3,2.1705968,3.5259724,6.113999366760252,1.0771596,0.72451967
False,128,32,4,4.0,2,3,3.6765783,9.348365,12.62103633880612,1.2987664,1.1181619
True,128,32,4,4.0,2,4,3.562678,4.701906,11.328328704833979,1.39346,0.8888183
False,128,32,4,4.0,2,4,2.2620356,3.816367,7.302613449096677,1.0922179,0.7721803
True,128,32,4,4.0,2,5,1.5964156,3.1814573,4.415090084075925,0.901465,0.630973
False,128,32,4,4.0,2,5,1.9134625,3.3188715,6.0250068664550644,1.0028754,0.6550335
True,128,32,4,4.0,2,6,3.0080323,6.661204,12.937972068786616,1.1749561,0.9446824
False,128,32,4,4.0,2,6,1.8340043,2.7131526,6.321241474151608,0.9868376,0.6219536
True,128,32,4,4.0,2,7,1.6674271,3.3873875,4.711476325988767,0.9145469,0.63876057
False,128,32,4,4.0,2,7,3.097899,6.175018,9.113917350769043,1.2349956,0.9167738
True,128,32,4,4.0,2,8,1.597591,2.917014,5.069697189331048,0.9102024,0.6009629
False,128,32,4,4.0,2,8,2.3061585,3.4894063,7.255744075775131,1.1184334,0.7455095
True,128,32,4,4.0,2,9,1.3319377,2.1981454,3.7857096195220943,0.82959497,0.54474854
False,128,32,4,4.0,2,9,2.3009136,5.2265625,7.6922283172607395,1.0474075,0.80496144
True,128,16,8,8.0,2,0,5.269792,8.502863,16.07096443176269,1.6889163,1.1831261
False,128,16,8,8.0,2,0,4.9433465,6.675388,19.2333271026611,1.6504481,1.0978459
True,128,16,8,8.0,2,1,3.740356,5.511472,14.047592735290504,1.4398806,0.95557195
False,128,16,8,8.0,2,1,4.8565154,6.896347,17.690415191650384,1.642221,1.1064385
True,128,16,8,8.0,2,2,5.1143823,7.57201,18.93394393920897,1.6588469,1.1552173
False,128,16,8,8.0,2,2,3.6428807,4.396171,11.713570785522457,1.4623928,0.8788602
True,128,16,8,8.0,2,3,5.2053485,8.721567,14.611171340942379,1.6829153,1.1654886
False,128,16,8,8.0,2,3,4.536741,6.023495,15.662369346618645,1.5835625,1.0264447
True,128,16,8,8.0,2,4,5.477128,9.907431,19.130145645141592,1.7006389,1.2236717
False,128,16,8,8.0,2,4,5.317727,8.892387,16.164465332031227,1.6931477,1.1783391
True,128,16,8,8.0,2,5,3.6683986,4.0583034,13.549419021606424,1.484612,0.8538413
False,128,16,8,8.0,2,5,5.04564,7.2798715,15.942478370666471,1.653166,1.118667
