symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,4,18.285714285714285,2,0,7.6600432,10.298546,21.126915359497026,2.070277,1.1736236
False,128,4,18.285714285714285,2,0,7.9748683,11.978254,25.224459075927733,2.0600755,1.2652987
True,128,4,18.285714285714285,2,1,6.703175,8.045848,23.751801300048815,1.9534906,1.0695945
False,128,4,18.285714285714285,2,1,7.966567,10.193708,24.40694236755368,2.0920131,1.2416877
True,128,4,18.285714285714285,2,2,7.0528717,6.4519706,19.257415771484375,2.0401719,1.0394346
False,128,4,18.285714285714285,2,2,9.890041,18.630108,27.617646026611318,2.299902,1.4811795
True,128,4,18.285714285714285,2,3,6.7185364,8.674391,20.632572555541987,1.9381616,1.1112027
False,128,4,18.285714285714285,2,3,8.33519,9.575004,26.339396667480464,2.1686745,1.1991239
True,128,4,18.285714285714285,2,4,6.3851266,6.695558,18.36796569824218,1.9002998,1.0011226
False,128,4,18.285714285714285,2,4,9.311385,17.017878,27.71269989013671,2.2289693,1.4024158
True,128,4,18.285714285714285,2,5,6.262465,6.679458,18.67166519165039,1.8969944,1.0069985
False,128,4,18.285714285714285,2,5,9.841726,14.309093,32.62164344787594,2.3074617,1.4353588
True,128,4,18.285714285714285,2,6,8.081987,8.837984,25.10688858032224,2.1554267,1.1593986
False,128,4,18.285714285714285,2,6,8.958242,17.646587,25.77475280761715,2.1713138,1.4172235
True,128,4,18.285714285714285,2,7,7.4394717,8.809601,19.85888290405272,2.0375197,1.1325127
False,128,4,18.285714285714285,2,7,10.229066,17.893091,28.773075866699184,2.3039358,1.5361067
True,128,4,18.285714285714285,2,8,7.373416,8.2920065,23.140106964111325,2.038903,1.1666137
False,128,4,18.285714285714285,2,8,9.298078,11.61399,26.84211463928222,2.302033,1.2998958
True,128,4,18.285714285714285,2,9,12.198437,26.072142,31.969884872436506,2.4805439,1.7466933
False,128,4,18.285714285714285,2,9,9.904663,14.009363,33.376303100585936,2.2907712,1.4766771
True,128,8,11.636363636363637,2,0,5.389409,6.4793634,18.515465927124005,1.7448766,1.065053
False,128,8,11.636363636363637,2,0,5.4883213,7.3990655,18.977650451660136,1.7350432,1.1191248
True,128,8,11.636363636363637,2,1,5.8973336,11.50169,15.745837402343746,1.7479315,1.2110045
False,128,8,11.636363636363637,2,1,5.217292,5.5844893,18.516699218749988,1.726319,0.95801586
True,128,8,11.636363636363637,2,2,6.7210793,8.433158,18.05390090942382,1.9504685,1.162367
False,128,8,11.636363636363637,2,2,5.366056,6.393581,18.105522918701165,1.7430792,1.065976
True,128,8,11.636363636363637,2,3,5.8254833,8.027225,20.04668655395506,1.7936343,1.1517884
False,128,8,11.636363636363637,2,3,5.661314,7.0268445,20.07458953857419,1.7651457,1.1027225
True,128,8,11.636363636363637,2,4,5.508059,7.1438317,16.424825668334957,1.7714484,1.0725387
False,128,8,11.636363636363637,2,4,6.7161603,8.4557,22.163753890991188,1.9207579,1.199923
True,128,8,11.636363636363637,2,5,5.597101,9.84631,15.777848243713368,1.7350577,1.1741716
False,128,8,11.636363636363637,2,5,5.637563,6.821856,19.29122390747068,1.7618933,1.0723491
True,128,8,11.636363636363637,2,6,5.3939133,5.7149234,15.662333679199218,1.7650139,0.9703216
False,128,8,11.636363636363637,2,6,5.4435754,6.4763327,15.297637557983396,1.7478954,1.0372583
True,128,8,11.636363636363637,2,7,6.2102695,7.6574316,18.56944236755369,1.8674085,1.1659021
False,128,8,11.636363636363637,2,7,5.16557,6.459414,16.83247718811035,1.686968,1.0730865
True,128,8,11.636363636363637,2,8,5.8842654,8.034979,21.817349624633785,1.7841359,1.1561424
False,128,8,11.636363636363637,2,8,5.293218,6.6220994,17.303553009033198,1.7372383,1.0327998
True,128,8,11.636363636363637,2,9,5.64516,8.922289,17.118024826049787,1.7457623,1.1398201
False,128,8,11.636363636363637,2,9,5.3090477,6.4055414,16.384578132629382,1.7219688,1.0370377
True,128,16,6.7368421052631575,2,0,4.268516,9.170078,10.826362609863272,1.5031092,1.1061695
False,128,16,6.7368421052631575,2,0,5.126941,7.693579,16.883435058593744,1.6595837,1.1585557
True,128,16,6.7368421052631575,2,1,4.138096,5.81586,15.123563575744619,1.5243243,0.9853161
False,128,16,6.7368421052631575,2,1,4.722913,6.2836165,16.15769538879392,1.6356133,1.0268056
True,128,16,6.7368421052631575,2,2,5.1557403,8.569251,16.215729141235343,1.6924293,1.1200501
False,128,16,6.7368421052631575,2,2,4.9211516,5.875204,15.676308250427235,1.7009201,1.0053688
True,128,16,6.7368421052631575,2,3,4.513353,6.1194606,14.401982116699207,1.5976232,1.0251491
False,128,16,6.7368421052631575,2,3,5.483903,9.117372,21.19277496337885,1.6965153,1.1907345
True,128,16,6.7368421052631575,2,4,5.0273085,6.35855,18.446631240844724,1.6823801,1.0915571
False,128,16,6.7368421052631575,2,4,5.154612,7.348549,17.20440750122069,1.6766858,1.1157945
True,128,16,6.7368421052631575,2,5,4.215268,9.470206,13.247388648986792,1.460111,1.1386659
False,128,16,6.7368421052631575,2,5,4.163169,5.1277757,12.7010570526123,1.5521383,0.9336289
True,128,16,6.7368421052631575,2,6,5.874785,7.9496875,25.24003028869628,1.7897869,1.1906235
False,128,16,6.7368421052631575,2,6,5.150383,6.580078,20.233611297607368,1.7114655,1.0970632
True,128,16,6.7368421052631575,2,7,4.696706,10.16018,15.7277612686157,1.5623449,1.1525059
False,128,16,6.7368421052631575,2,7,5.222662,6.665489,17.477128219604488,1.7208582,1.09268
True,128,16,6.7368421052631575,2,8,4.757627,6.661474,14.4330451965332,1.6365253,1.0784683
False,128,16,6.7368421052631575,2,8,4.743665,5.917261,15.034483718872064,1.6487578,1.0393627
True,128,16,6.7368421052631575,2,9,5.03163,9.608103,17.48366317749021,1.6009251,1.2504653
False,128,16,6.7368421052631575,2,9,5.121358,8.9319935,15.83214111328124,1.6480544,1.1799909
True,128,32,3.657142857142857,2,0,1.8665668,3.2286098,5.607193374633785,0.98256165,0.64235
False,128,32,3.657142857142857,2,0,2.7442975,5.899592,9.124961471557615,1.1615392,0.8969745
True,128,32,3.657142857142857,2,1,1.408056,2.5033984,4.5326522827148406,0.8630433,0.560472
False,128,32,3.657142857142857,2,1,2.6385357,5.6198225,7.822338676452636,1.140051,0.8256104
True,128,32,3.657142857142857,2,2,1.4621242,2.9937096,4.200252389907827,0.857226,0.60061
False,128,32,3.657142857142857,2,2,1.6805054,3.0566397,4.536358642578123,0.9245623,0.63598764
True,128,32,3.657142857142857,2,3,2.499913,3.1994202,7.597712230682366,1.1796817,0.71291715
False,128,32,3.657142857142857,2,3,2.7623143,5.9880567,10.300176811218245,1.1620817,0.93003833
True,128,32,3.657142857142857,2,4,1.5914339,2.9572666,4.294451522827147,0.89167255,0.6389724
False,128,32,3.657142857142857,2,4,2.6308537,3.6372933,9.924353408813474,1.1709925,0.7533193
True,128,32,3.657142857142857,2,5,1.705876,2.5739977,6.265140914916992,0.9332707,0.6099315
False,128,32,3.657142857142857,2,5,2.358635,5.5513525,7.134789848327623,1.0297066,0.8373031
True,128,32,3.657142857142857,2,6,1.8014582,3.562187,6.715904331207275,0.93865997,0.68685144
False,128,32,3.657142857142857,2,6,2.0583758,2.8040922,5.999366569519038,1.0549847,0.6605442
True,128,32,3.657142857142857,2,7,2.510092,8.46865,7.811562347412085,1.0361979,0.92165047
False,128,32,3.657142857142857,2,7,3.3474166,9.298983,11.85218467712402,1.2383575,1.050862
True,128,32,3.657142857142857,2,8,1.5810565,2.994288,4.718485832214349,0.914964,0.6195768
False,128,32,3.657142857142857,2,8,2.3027956,4.9024725,7.304478263854974,1.0431489,0.76701236
True,128,32,3.657142857142857,2,9,2.5481427,3.934143,10.77942924499511,1.152028,0.79579216
False,128,32,3.657142857142857,2,9,1.672402,2.7342043,5.131908988952635,0.9337151,0.643111
True,128,64,1.9104477611940298,2,0,1.4455849,2.9249578,5.093532371520996,0.8216718,0.6066169
False,128,64,1.9104477611940298,2,0,1.6904681,5.128886,4.8986008644103824,0.80695665,0.7136753
True,128,64,1.9104477611940298,2,1,1.9977733,7.158536,7.016178703308105,0.8390564,0.8510737
False,128,64,1.9104477611940298,2,1,2.0502563,5.570028,7.002142143249495,0.9290871,0.7962563
